WKT,osm_id,access,amenity,name,operator,watsan:cost,watsan:location,watsan:type,opening_hours
POINT (36.846516641161692 -1.313506732392042),2305020638,,toilets,plot-toilet,,free,plot-by_the_river,,24/7
POINT (36.846433546997908 -1.313464343051704),2296848800,,toilets,Toilet,,free,,private_toilet,24/7
POINT (36.84665749699824 -1.313469462103435),2305020637,,toilets,plot-toilet,,free,plot-by_the_river,,24/7
POINT (36.846761342245081 -1.313505924120721),2296848823,,toilets,,,free,,private_toilet,24/7
POINT (36.846161626961404 -1.313148847790552),2305020633,,toilets,plot-toilet,,free,plot-by_the_river,,24/7
POINT (36.846324311859355 -1.313117235396698),2305020623,,toilets,Jane anyango,,ksh 5,by_the_river,,06:00-21:30
POINT (36.846104224614749 -1.312931243150855),2305020627,,toilets,millicent akinyi,,ksh 5,by_the_river,,24/7
POINT (36.846572426540838 -1.313074037778297),1499916456,,toilets,,,,,,
POINT (36.847072877985617 -1.313799416398159),2305020640,,toilets,plot-toilet,,free,,,24/7
POINT (36.847017811258695 -1.313708890020049),2296848840,,toilets,Toilet,,free,,private_toilet,24/7
POINT (36.847196486168713 -1.31382995108845),2296848857,,toilets,Toilet,,free,,private_toilet,24/7
POINT (36.847390522270075 -1.313596450506172),2305020628,,toilets,,,ksh 5,by_the_river,,06:00-20:00
POINT (36.846796107046572 -1.313536279198753),2305020639,,toilets,plot-toilet,,200 per month,plot-by_the_river,,24/7
POINT (36.846858899284932 -1.313433538933166),2305020614,,toilets,Eric omondi,,ksh 5,by_the_river,,06:00-20:00
POINT (36.847101174917064 -1.313346604858978),1500016824,,toilets,,toilet,,,,
POINT (36.847200977745132 -1.313322895565499),6584041549,permissive,toilets,,,,,,
POINT (36.847250025759635 -1.313259940205595),6584041548,permissive,toilets,,,,,,
POINT (36.847358362582902 -1.313314363812118),1499916457,,toilets,,,,,,
POINT (36.847498948924873 -1.313087958008833),6584041545,permissive,toilets,,,,,,
POINT (36.847639984424475 -1.313159894166721),6584041547,permissive,toilets,,,,,,
POINT (36.847904987433296 -1.313117953860198),6584041546,permissive,toilets,,,,,,
POINT (36.839474208660299 -1.311166516421651),1500016773,,toilets,,toilet,,,,
POINT (36.839749093137243 -1.310935709831196),1499927338,,toilets,,public toilet,,,,
POINT (36.839669951560708 -1.310421828310983),1499927334,,toilets,,public toilet,,,,
POINT (36.841379984535564 -1.311639894385538),6584041514,permissive,toilets,,,,,,
POINT (36.842441074549164 -1.31198367935041),1500016801,,toilets,,toilet,,,,
POINT (36.840617045364759 -1.311166516421651),1500016776,,toilets,,toilet,,,,
POINT (36.840199957578342 -1.310139920875078),6584041497,permissive,toilets,,,,,,
POINT (36.84037000866163 -1.310289900304938),6584041499,permissive,toilets,,,,,,
POINT (36.841192326472708 -1.310579890446568),1499927335,,toilets,,public toilet,,,,
POINT (36.841181995846945 -1.310204941898471),6584041498,permissive,toilets,,,,,,
POINT (36.841439991996538 -1.311439891982195),6584041512,permissive,toilets,,,,,,
POINT (36.842218022864117 -1.311364902302823),6584041511,permissive,toilets,,,,,,
POINT (36.841340009505416 -1.310429911034062),6584041500,permissive,toilets,,,,,,
POINT (36.842387984115874 -1.310438532605328),2001079049,,toilets,Global youth toilet,,ksh 5,,,06:00-21:00
POINT (36.837430810883518 -1.309220376138455),2316838872,,toilets,Njoroge,,ksh 5,,,05:00-22:00
POINT (36.83745596371147 -1.309200618361341),2318127058,,toilets,Ruth wambui,,ksh 5,,,05:00-22:00
POINT (36.837509772796992 -1.309142332917919),2316838871,,toilets,Kasenge,,ksh 3,,,05:00-21:00
POINT (36.837541483326518 -1.309114043372477),2316838870,,toilets,Kasenge,,ksh 3,,,05:00-21:00
POINT (36.837558551316917 -1.309095093867244),2316838869,,toilets,Kasenge,,ksh 3,,,05:00-21:00
POINT (36.837630865697285 -1.308999807490463),2316838867,,toilets,Kaleli,,ksh 5,,,06:00-21:00
POINT (36.838434049392824 -1.309151583150168),6584041493,permissive,toilets,,,,,,
POINT (36.839857879118149 -1.309710279153219),1499927326,,toilets,,public toilet,,,,
POINT (36.838620000656633 -1.30898687512614),6584041492,permissive,toilets,,,,,,
POINT (36.839785025748604 -1.308811659544539),6584041491,permissive,toilets,,,,,,
POINT (36.837763457033219 -1.308474699560284),2316838874,,toilets,Tosha,,ksh 3,,,05:00-21:00
POINT (36.837162484108148 -1.307997549057387),1499927324,,toilets,,Puplic toilet,,,,
